key,store,AvitoId,Id,Title,Vendor,ImageUrls,VideoURL,Price,GoodsType,Color,Description,Condition,ContactPhone,AdType,Model,Category,Address,RamSize,MemorySize,ManagerName,Box_Sealed,IMEI,StrapType,ProductType,Gender,ProductSubType
215,iSmartChita,4240379218,RLM-3871.8-256.GN,realme 12 256 ГБ/8 ГБ зеленый,realme,http://res.cloudinary.com/avitophoto/image/upload/v1721271631/RLM-3871.8-256.GN/8_hfjyke.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271633/RLM-3871.8-256.GN/6_p3bza5.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271635/RLM-3871.8-256.GN/7_d8wvw4.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271637/RLM-3871.8-256.GN/3_q22bpr.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271640/RLM-3871.8-256.GN/2_m6lwee.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271642/RLM-3871.8-256.GN/4_r1uxoj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271645/RLM-3871.8-256.GN/1_cenz6z.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1721271647/RLM-3871.8-256.GN/5_zxnejd.jpg,,23990,Мобильные телефоны,зеленый,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,12,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,869836070141590,,,,
216,iSmartChita,4560202768,RLM-3930.6-128.GN,realme C61 128 ГБ/6 Гб зеленый,realme,http://res.cloudinary.com/avitophoto/image/upload/v1726817076/RLM-3930.6-128.GN/1_lmcrol.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817081/RLM-3930.6-128.GN/2_r9x0qj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817109/RLM-3930.6-128.GN/3_o06sjy.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817122/RLM-3930.6-128.GN/4_zuc4uk.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817123/RLM-3930.6-128.GN/5_p6csvi.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817123/RLM-3930.6-128.GN/6_nectbw.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817123/RLM-3930.6-128.GN/7_hz06ug.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817123/RLM-3930.6-128.GN/8_zsrjy2.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817124/RLM-3930.6-128.GN/9_pob3uv.jpg,,10990,Мобильные телефоны,зеленый,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C61,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",6 Гб,128 ГБ,iSmart,Да,864840072342219,,,,
217,iSmartChita,4560075353,RLM-3930.8-256.GN,realme C61 256 ГБ/8 ГБ зеленый,realme,http://res.cloudinary.com/avitophoto/image/upload/v1726817196/RLM-3930.8-256.GN/1_g3i0cq.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817197/RLM-3930.8-256.GN/2_meqrcz.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817216/RLM-3930.8-256.GN/3_lbpgah.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817217/RLM-3930.8-256.GN/4_pjbbt2.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817217/RLM-3930.8-256.GN/5_k5gsim.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817217/RLM-3930.8-256.GN/6_c7mku7.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817218/RLM-3930.8-256.GN/7_xxuirz.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817219/RLM-3930.8-256.GN/8_rvfyti.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817219/RLM-3930.8-256.GN/9_yf3qvo.jpg,,13990,Мобильные телефоны,зеленый,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C61,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,864840072916012,,,,
218,iSmartChita,4559845859,RLM-3939.8-256.GN,realme C63 256 ГБ/8 ГБ зеленый,realme,http://res.cloudinary.com/avitophoto/image/upload/v1726817498/RLM-3939.8-256.GN/1_fibq8t.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817499/RLM-3939.8-256.GN/2_vpwied.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817499/RLM-3939.8-256.GN/3_o2rifd.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817500/RLM-3939.8-256.GN/4_ygkmfs.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817567/RLM-3939.8-256.GN/5_j6krn5.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817568/RLM-3939.8-256.GN/6_ume0tj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817569/RLM-3939.8-256.GN/7_rqfb9a.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817570/RLM-3939.8-256.GN/8_nqq5a7.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1726817571/RLM-3939.8-256.GN/9_q4nbld.jpg,,16990,Мобильные телефоны,зеленый,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C63,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,865304071253850,,,,
219,iSmartChita,4559493670,RLM-3939.8-256.BL,realme C63 256 ГБ/8 ГБ синий,realme,http://res.cloudinary.com/avitophoto/image/upload/v1727142306/RLM-3939.8-256.BL/1_l8yecy.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142307/RLM-3939.8-256.BL/2_gqdqpq.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142355/RLM-3939.8-256.BL/3_pavmor.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142355/RLM-3939.8-256.BL/4_umxlhd.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142356/RLM-3939.8-256.BL/5_e5ncn6.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142357/RLM-3939.8-256.BL/6_udpkq8.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142358/RLM-3939.8-256.BL/7_xjo43n.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142358/RLM-3939.8-256.BL/8_wvl2fj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1727142360/RLM-3939.8-256.BL/9_uchlga.jpg,,16990,Мобильные телефоны,синий,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C63,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,865304070660899,,,,
220,iSmartChita,4240227253,RLM-3890.6-128.BK,realme C67 128 ГБ/6 Гб черный,realme,http://res.cloudinary.com/avitophoto/image/upload/v1711591374/RLM-3890.6-128.BK/1_d7feph.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591374/RLM-3890.6-128.BK/2_xya3s8.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591374/RLM-3890.6-128.BK/3_fg92ur.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/4_cy3sau.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/5_gku8yb.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/6_fjuahz.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/7_l7cujd.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/8_eenlcb.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591375/RLM-3890.6-128.BK/9_rpwf08.jpg,,17990,Мобильные телефоны,черный,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C67,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",6 Гб,128 ГБ,iSmart,Да,864660066812674,,,,
221,iSmartChita,4240273842,RLM-3890.8-256.GN,realme C67 256 ГБ/8 ГБ зеленый,realme,http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/1_fcixdu.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/2_r2aaai.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/3_imryqk.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/4_lmfg1u.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/5_chr9ib.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/6_u1p1fj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/7_fvpqt1.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/8_sdmqgv.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1719968322/RLM-3890.8-256.GN/9_xtwcrg.jpg,,19990,Мобильные телефоны,зеленый,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C67,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,864660066375730,,,,
222,iSmartChita,4239905866,RLM-3890.8-256.BK,realme C67 256 ГБ/8 ГБ черный,realme,http://res.cloudinary.com/avitophoto/image/upload/v1711591431/RLM-3890.8-256.BK/1_y6bwyv.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591484/RLM-3890.8-256.BK/2_yjwdlr.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591485/RLM-3890.8-256.BK/3_q4n2xn.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591485/RLM-3890.8-256.BK/4_hrf5p0.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591486/RLM-3890.8-256.BK/5_jrcdfp.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591487/RLM-3890.8-256.BK/6_zifdyr.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591488/RLM-3890.8-256.BK/7_nzggst.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591489/RLM-3890.8-256.BK/8_xhkdns.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1711591490/RLM-3890.8-256.BK/9_iauqd6.jpg,,19990,Мобильные телефоны,черный,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,C67,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",8 ГБ,256 ГБ,iSmart,Да,864660069885073,,,,
223,iSmartChita,4239716746,RLM-3834.3-64.BK,realme Note 50 64 ГБ/3 Гб черный,realme,http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/1_tqdxnb.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/2_cmjvzb.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/3_zfh5in.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/4_q7x5no.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/5_k05olp.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566531/RLM-3834.3-64.BK/7_zrng9y.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566532/RLM-3834.3-64.BK/6_q9ltpn.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566532/RLM-3834.3-64.BK/8_grwspz.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1708566532/RLM-3834.3-64.BK/9_mgweau.jpg,,6490,Мобильные телефоны,черный,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,Note 50,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",3 Гб,64 ГБ,iSmart,Да,863475076416692,,,,
224,iSmartChita,4559570759,MZB0H66RU,Xiaomi Redmi 13 128 ГБ/6 Гб черный,Xiaomi,http://res.cloudinary.com/avitophoto/image/upload/v1732156718/MZB0H66RU/1_od75dy.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156719/MZB0H66RU/2_y95jqj.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156720/MZB0H66RU/3_gbbsa3.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156721/MZB0H66RU/4_u0augw.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156723/MZB0H66RU/5_qlakgi.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156724/MZB0H66RU/6_rqxxb6.jpg | http://res.cloudinary.com/avitophoto/image/upload/v1732156725/MZB0H66RU/7_s0srbp.jpg,,14990,Мобильные телефоны,черный,"<p>___________________________________</p> 
<p>Все модели, цвета и объемы памяти в полном ассортименте, а также сопутствующие аксессуары к ним в НАЛИЧИИ, Вы найдёте в нашем профиле и в нашем салоне iSmart</p>
<p>🛒Кассовый, товарный и гарантийный талон с серийным номером при покупке.🆕Запечатан, не активирован, новый. </p>
<p>ГАРАНТИЙНОЕ ОБСЛУЖИВАНИЕ в течении года.💵СПОСОБЫ ОПЛАТЫ ⬇️⬇️⬇️✅наличными при получении 💵✅кредит 💰 </p>
<p>🛍Мы продаем только только НОВУЮ и ОРИГИНАЛЬНУЮ технику с гарантией абсолютно на весь товар(проверка по серийному номеру на официальном сайте) </p>
<p>😍Не забудь добавить в ИЗБРАННОЕ и заглянуть в наш ПРОФИЛЬ, всё самое актуальное в полном ассортименте именно там.</p>
<p>🤩ПОДПИШИСЬ, чтобы не пропустить выгодные Акции и новые предложения. </p>
<p>🤑Не откладывай покупку на завтра , ЗВОНИ/ПИШИ прямо сейчас!</p>

",Новое,88005509022,Товар приобретен на продажу,Redmi 13,Телефоны,"г. Чита, ул. Шилова 100 ТЦ Макси",6 Гб,128 ГБ,iSmart,Да,860153072848605,,,,
